name,type,start_p50,mid_p50,mid_p10,mid_p25,mid_p75,mid_p90,Ranked on Forbes
"University of California, Santa Barbara (UCSB)",Party,less than national average,95000.0,51300.0,71200.0,129000.0,173000.0,False
University of Texas (UT) - Austin,Party,less than national average,93900.0,50100.0,67400.0,129000.0,188000.0,False
State University of New York (SUNY) at Albany,Party,less than national average,92200.0,47000.0,63100.0,135000.0,209000.0,False
University of Florida (UF),Party,less than national average,87900.0,45400.0,62900.0,120000.0,172000.0,False
Louisiana State University (LSU),Party,less than national average,87800.0,43700.0,61300.0,120000.0,165000.0,False
University of Georgia (UGA),Party,less than national average,86000.0,43100.0,57800.0,118000.0,164000.0,False
Pennsylvania State University (PSU),Party,less than national average,85700.0,46300.0,62000.0,117000.0,160000.0,False
Arizona State University (ASU),Party,less than national average,84100.0,44600.0,60700.0,114000.0,163000.0,False
"Indiana University (IU), Bloomington",Party,less than national average,84000.0,43600.0,60400.0,119000.0,178000.0,False
University of Iowa (UI),Party,less than national average,83900.0,43300.0,61100.0,116000.0,163000.0,False
Randolph-Macon College,Party,less than national average,83600.0,44250.64935064935,54100.0,123000.0,157705.6277056277,False
"University of Alabama, Tuscaloosa",Party,less than national average,81400.0,40100.0,56500.0,117000.0,161000.0,False
University of Mississippi,Party,less than national average,79700.0,40400.0,53500.0,108000.0,186000.0,False
University of New Hampshire (UNH),Party,less than national average,78300.0,41700.0,56400.0,114000.0,147000.0,False
West Virginia University (WVU),Party,less than national average,78100.0,39700.0,55700.0,106000.0,141000.0,False
University of Tennessee,Party,less than national average,74600.0,41900.0,53200.0,106000.0,153000.0,False
Ohio University,Party,less than national average,73400.0,36600.0,52800.0,106000.0,150000.0,False
Florida State University (FSU),Party,less than national average,73000.0,39600.0,52800.0,107000.0,156000.0,False
Bucknell University,Liberal Arts,less than national average,110000.0,62800.0,80600.0,156000.0,251000.0,False
Colgate University,Liberal Arts,less than national average,108000.0,60000.0,76700.0,167000.0,265000.0,False
Amherst College,Liberal Arts,less than national average,107000.0,44250.64935064935,84900.0,162000.0,157705.6277056277,True
Lafayette College,Liberal Arts,less than national average,107000.0,70600.0,79300.0,144000.0,204000.0,False
Bowdoin College,Liberal Arts,less than national average,107000.0,44250.64935064935,74600.0,146000.0,157705.6277056277,False
College of the Holy Cross,Liberal Arts,less than national average,106000.0,44250.64935064935,65600.0,143000.0,157705.6277056277,False
Occidental College,Liberal Arts,less than national average,105000.0,44250.64935064935,54800.0,157000.0,157705.6277056277,False
Washington and Lee University,Liberal Arts,less than national average,104000.0,44250.64935064935,82800.0,146000.0,157705.6277056277,False
Swarthmore College,Liberal Arts,less than national average,104000.0,44250.64935064935,67200.0,167000.0,157705.6277056277,False
Davidson College,Liberal Arts,less than national average,104000.0,44250.64935064935,70500.0,146000.0,157705.6277056277,False
Carleton College,Liberal Arts,less than national average,103000.0,44250.64935064935,69400.0,141000.0,157705.6277056277,False
Williams College,Liberal Arts,less than national average,102000.0,44250.64935064935,76400.0,143000.0,157705.6277056277,True
Pomona College,Liberal Arts,less than national average,101000.0,44250.64935064935,63300.0,161000.0,157705.6277056277,False
"Wesleyan University (Middletown, Connecticut)",Liberal Arts,less than national average,97900.0,42000.0,62500.0,126000.0,215000.0,False
Bates College,Liberal Arts,less than national average,96500.0,44250.64935064935,60700.0,162000.0,157705.6277056277,False
Union College,Liberal Arts,less than national average,95800.0,48700.0,75200.0,135000.0,230000.0,False
University of Richmond,Liberal Arts,less than national average,94600.0,44500.0,59400.0,151000.0,211000.0,False
Vassar College,Liberal Arts,less than national average,94600.0,44250.64935064935,60600.0,123000.0,157705.6277056277,False
